Category,Feature,Status,Comments,Reference
"Performance","Core operations versus v3","Implemented","Archived 2026-09-02 run: 269 matched p50 pairs, 10.70x geometric-mean speedup; slowest ratio 1.02x. Same-machine benchmark evidence, not a universal application speedup.","benchmark/published/results-2026-09-02T02-03-57-714Z.json"
"Performance","Rendering versus v3","Implemented","Archived 2026-09-02 run: 104 matched p50 pairs, 31.21x geometric mean. Includes different rendering operations, not a single FPS claim; wall time and GPU device time are distinct.","benchmark/published/results-render-2026-09-02T01-25-18-372Z.json"
"Performance","GPU algorithms versus v4 CPU","Partial","Archived 2026-09-02 run: 57 matched warm p50 pairs, 7.73x geometric mean, with individual GPU regressions. This baseline is v4 CPU, not v3; first-call cost is reported separately.","benchmark/published/results-alggpu-2026-09-02T01-47-37-618Z.json"
"Performance","GPU algorithm bottleneck removal","Implemented","Round 72 (2026-09-18): a sparse CSR SpMV behind pageRank and Katz (an explicit 'gpu' run 2–19× cheaper; 'auto' keeps both on the CPU, whose whole run is under one GPU readback), affinity propagation's availability update coalesced (−42%), unweighted closeness a BFS per source on both executors (18–47× on the CPU, the GPU from n=1024), and every 'auto' constant re-measured — the triangle family's gate is a mean degree of 64, the round-70 families have no crossover and lost their gates. GPU availability alone still does not imply a speedup: the sweep publishes which cells the CPU owns.","plan/rounds/2026-08-14-03-rnd0072-landed-the-algorithm-perf-follow-ups-gathered.md"
"Performance","CPU algorithms without blocking interaction","Implemented","Round 74: executor 'workers' runs the per-source-parallel families (both betweenness forms, unweighted closeness, heatKernel, RWR proximity) on a pool of plain workers off the main thread, and 'auto' takes the pool wherever the GPU does not run. Measured on the 8-core benchmark machine: 2.4–18× over the CPU reference across the 18-cell sweep, per-worker snapshot clone 0.2 ms, per-family crossovers stamped (128–512 nodes). Same-machine evidence, not a universal speedup.","src/algorithms/algo-workers.mts"
"Performance","First frame during progressive loading","Planned","Chunked ingestion targets time to first useful frame, separately from total load time and peak memory.","plan/rounds/2026-08-20-04-rnd0103-plan-progressive-ingest-a-first-frame-before-the-last-byte.md"
"Performance","Loading and snapshot copy budget","Implemented","Every copy priced (round 110): wire decode is zero-copy, the ingest column copy is 0.4% of init (adoption declined), per-frame and worker-batch uploads sit at the memcpy floor, export readback converts on the device. Zero-copy is not an end-to-end guarantee: the WebGPU upload and the mapped-range slice are the floor.","plan/rounds/2026-08-26-02-rnd0110-landed-zero-copy-the-copy-census-and-what-each-copy-buys.md"
"Performance","Worker-hosted rendering","Partial","OffscreenCanvas host exists; image forwarding, page fonts and GPU force/tween proxy work remain limitations. Measure main-thread responsiveness separately from draw throughput.","plan/rounds/2026-08-14-17-rnd0086-landed-the-worker-hosted-renderer-offscreencanvas.md"
"Performance","Application interaction latency budgets","Proposed","Measure p95 input-to-visible-update during load, selection, filtering, dragging and layout on pinned Cytoscape Web, EnrichmentMap and GeneMANIA fixtures; agree budgets from results.","docs/feature-direction.md"
"Performance","Chart-heavy and blob-heavy scene budgets","Proposed","Measure frame time, first paint and memory across slice count, chart kind, hull membership and overlap before increasing visual complexity; retain a plain-node control.","docs/feature-direction.md"
"Performance","Large-graph memory ceiling and graceful degradation","Undecided","Scale-ceiling bisection and VRAM budgets are open ideas; establish CPU/GPU memory ceilings and allocation-failure behaviour, rather than claiming million-node support.","PLAN.md"
"Performance","Long-session renderer stability","Undecided","Hours-long mutation, animation and lifecycle soak plus allocation accounting remains an open follow-up; existing device-loss recovery does not establish leak-free long sessions.","PLAN.md"
"Performance","Performance regression budgets by workload","Proposed","Define per-workload thresholds using stable same-machine runs, including cold start, memory and tail latency; a favourable overall mean must not hide an app-critical regression.","docs/feature-direction.md"
"Developer experience","Builtin layouts for major audited use cases","Implemented","Organic force, layered flow, radial/tree, circular/concentric, grid, preset and random are built in. Round 122 audited Cytoscape Web and EnrichmentMap; this is bounded coverage, not every graph-drawing problem.","plan/rounds/2026-09-09-02-rnd0122-landed-the-layout-portfolio-audit-the-use-cases-the-flagships-and-what-is-missing.md"
"Developer experience","Component packing without an external plugin","Implemented","Discrete layouts can pack components; pack preserves existing component drawings. Covers disconnected enrichment networks and removes the need for an app-owned packer.","plan/rounds/2026-09-09-03-rnd0123-landed-component-packing-on-the-discrete-layouts-the-pack-layout-and-breadthfirst-s-trees-as-blocks.md"
"Developer experience","One force layout for constraints and packing","Implemented","Force combines constraints, per-edge lengths and grouped/ordered packing; the audited EnrichmentMap workflow no longer needs several layout/packing stages. Migration is not v3 option compatibility.","plan/rounds/2026-09-09-01-rnd0121-landed-the-re-pack-takes-a-grouping-and-an-order-and-the-larger-components-turn.md"
